Message,sentiment
He hardly did anything for me.,negative
He hardly did anything for you.,negative
He hardly did anything for her.,negative
He hardly did anything for him.,negative
I want to get out of this toxic relationship.,negative
The river has become toxic because of pollutants.,negative
The fight was the result of the growing toxicity between the two brothers.,negative
The accumulation of toxic waste on the shore will lead to a major problem.,negative
Her toxic attitude will lead to her downfall.,negative
A friendship dwelling on toxicity will always end up on a bad note.,negative
Man you sound so toxic.,negative
"I hate my field, It's so toxic.",negative
These factories are releasing toxic waste in the atmosphere.,negative
I don't want to be a part of this toxic group.,negative
The competition has become toxic here.,negative
The factory is releasing toxic gases.,negative
There are so many toxic gases in the atmosphere these days.,negative
Toxicity in a relationship is the product of misunderstanding and miscommunication.,negative
Your toxic traits are showing.,negative
I don't know if she is toxic or he is toxic in this relationship.,negative
Toxicity is bad for a relationship.,negative
The cars are releasing a lot of toxic gases in the atmosphere.,negative
You would want to stay away from toxic waste.,negative
Don't go near the toxic waste.,negative
"Hey, I think this relationship has become toxic now.",negative
She is a toxic person and you would want to stay away from her.,negative
Toxicity stops a relationship from growing.,negative
I don't wanna stay in this toxic relationship anymore.,negative
Chernobyl released a copious amount of toxic waste.,negative
I don't see you going far with that toxic demeanor.,negative
Toxicity can destroy relationships.,negative
You don't want your love to turn toxic.,negative
His blood became toxic after the snake bite.,negative
This exam will ruin my life.,negative
Ruining someone's life will never give you the gratification that you seek.,negative
Why are you so adamant on ruining your life?,negative
That professor is so obdurate on ruining her life.,negative
Your recalcitrant personality will ruin your career one day.,negative
What will you get out of ruining my life?,negative
I wish I hadn't ruined my life.,negative
You will eventually ruin your life if you keep doing this.,negative
I will ruin your life.,negative
Please don't ruin my life.,negative
He ruined his life to avenge his dignity.,negative
Ruining someone's life will only bring you guilt.,negative
Ruining someone's life is easier than making someone's life.,negative
Ruining someone's life will not bring you happiness.,negative
If he ruins his life now then he will regret it forever.,negative
Ruining her life was a big mistake.,negative
Ruining his life only brought me sadness.,negative
Ruining their lives pushed me more towards depravity.,negative
She ruined herself and her life.,negative
She didn't want them to ruin her life.,negative
The wall fell on the car ruining it.,negative
Don't ruin the decoration!,negative
I won't help you to ruin someone's life.,negative
Ruining someone's life is an odious thing.,negative
What will ruining my life bring you?,negative
I don't want to ruin the big surprise.,negative
Please don't ruin the big surprise.,negative
Don't be a bully man.,negative
Bullying someone is a crime these days.,negative
I was a victim of bullying.,negative
She bullies her juniors.,negative
Bullying someone is not good.,negative
Bullies are weaker than their victims.,negative
Bullying someone for gratification is not okay.,negative
Are you a bully?,negative
I know how to deal with bullies like you.,negative
Bullies like you deserve to be penalized.,negative
Girls bully too.,negative
I got bullied in highschool.,negative
Stand up to your bullies.,negative
Have you ever stood up to your bullies?,negative
Bullies are so bad man.,negative
Bullies have no dignity.,negative
Bullying someone is a sign of weakness.,negative
I am not going to get bullied.,negative
"She didn't get bullied, She is lying.",negative
John is a bully guys.,negative
I didn't fight my friend's bully.,negative
I didn't bully them.,negative
They bullied me.,negative
You don't want to grow up to become a bully.,negative
Her shyness is the product of getting bullied.,negative
"Once a bully, always a bully.",negative
Don't bully them.,negative
She is going to take all the bullies down.,negative
I am not a bully sir.,negative
My professor is a bully.,negative
She is not going to condone bullying.,negative
She easily gets offended.,negative
Please don't take any offence of that.,negative
It's an offensive thing to say.,negative
I didn't mean to be offensive.,negative
She didn't mean to offend anyone.,negative
People easily get offended these days.,negative
He didn't want to offend them.,negative
Why are you passing offensive comments?,negative
This is not an offensive society.,negative
Please try to not get offended.,negative
I didn't mean to offend you but that's the truth.,negative
Truth can be offensive sometimes.,negative
Who is it offensive to?,negative
"Hey, Don't offend their feelings.",negative
He tried to offend me but I didn't react.,negative
All the sex offenders should be indicted.,negative
There are so many sex offenders in the world waiting to be arraigned.,negative
Why is no one talking about the offensive statement?,negative
You are seriously offended because of that?,negative
I am not going to sit here and listen to your offensive and snarky comments.,negative
I didn't want you to take offence in the first place.,negative
Your comments were offensive.,negative
You made them go all offensive.,negative
Their offensive strategy lead to their downfall.,negative
Who told you to make offensive jokes?,negative
I didn't make any offensive and inappropriate jokes.,negative
Maybe it's better if you don't make any offensive jokes now.,negative
Please don't abuse me.,negative
He abused his friends.,negative
I am not here to get abused.,negative
Please don't hurl abuses at me.,negative
I am not going to take your abusive language.,negative
She didn't abuse him.,negative
I didn't abuse no one.,negative
She didn't want to abuse them.,negative
Your abusive language is not helping you man.,negative
Take that abusive tone with someone else.,negative
I don't want to hear any more abuses.,negative
She didn't say anything abusive.,negative
If he abused me then I will beat him up.,negative
Stop abusing them.,negative
You gotta control your abusive language.,negative
Your abusive language is the reason why no likes you.,negative
I will stop abusing now.,negative
Enough with this abusive language.,negative
He didn't abuse anyone.,negative
She didn't abuse him or did she?,negative
I don't want to listen to your dirty and abusive language.,negative
Please don't start abusing there.,negative
I don't want to see you abuse in front of the elders again.,negative
Mental abuse is a crime.,negative
Domestic abuse is a crime.,negative
Why do people abuse other people?,negative
I am not going to abuse him.,negative
Who abused the seniors?,negative
He is an ill-mannered brat.,negative
She is an ill-mannered woman.,negative
You are too Ill-mannered to be a part of this organisation.,negative
They are a group of ill-mannered blokes.,negative
His friends are ill-mannered.,negative
Her friends are ill-mannered.,negative
Please change your ill-mannered demeanor.,negative
It's a group of ill-mannered people.,negative
That's a group of ill-mannered people.,negative
A bunch of ill-mannered boys attacked me.,negative
Some ill-mannered boys bullied Ryan.,negative
You will end up like those ill-mannered guys.,negative
You are hardly my friend.,negative
They hardly know each other.,negative
I don't want to be your friend because you are ill-mannered.,negative
I hardly recognized him.,negative
I am not gonna join you and your ill-mannered parade of losers.,negative
He really hardly knew her but thinks he's supposed act like he's grieving.,negative
He is turning into an ill-mannered kid.,negative
She is turning into an obstreperous and ill-mannered kid.,negative
The guy can hardly remember to blow his nose!,negative
He is unhygienic and ill-mannered.,negative
Stay away from ill-mannered people.,negative
"Yes, I have heard of his scheme for perpetual peace, and it is very interesting but hardly feasible.",negative
I can hardly handle the two I have.,negative
Her car hardly worked.,negative
We hardly had anything to do with each other.,negative
They hardly had anything to do with each other.,negative
Don't be too hard on Howard.,negative
Why didn't you tell me Dulce was giving you a hard time?,negative
"Ugh, how hard it is!",negative
That scheme is perpetuated by ill-mannered people.,negative
I can't handle your ill-mannered kids.,negative
But the principle is hardly ever helpful.,negative
You talk like an ill-mannered person.,negative
Please shut your ill-mannered mouth.,negative
You were hardly of any use.,negative
Your ill-mannered personality is of no use to me.,negative
In the governments of the black-earth region the state of matters is hardly better.,negative
It is hardly possible for me to work anymore.,negative
I can't work with an ill-mannered group of people.,negative
I was hardly of any use.,negative
He reprimanded those ill-mannered boys.,negative
She chastised a group of ill-mannered girls.,negative
The numerous errors in these assertions hardly need pointing out.,negative
They were hardly of any help for me.,negative
We are paying the consequences for your ill-mannered actions.,negative
Her achievements in literature are hardly great.,negative
Their achievements in this field are hardly great.,negative
You won't succeed with that ill-mannered personality.,negative
He won't amount to anything because of his ill-mannered personality.,negative
They are a bad influence on him.,negative
You are a bad person.,negative
You are an ill-mannered person.,negative
Howie's a bad guy.,negative
I feel bad about that.,negative
He said they called him a bad name.,negative
You're as bad as he is!,negative
"I know, and I feel bad about that.",negative
"Tell me truly, do you think me as bad as that?",negative
"The bad news, I guess.",negative
I made a really bad mistake and I don't know what to do.,negative
He was the one who gave me a bad name.,negative
The bad guys are vampires.,negative
I don't want to eat this tasteless dish.,negative
That prank was tasteless.,negative
"It wasn't bad enough she had to pitch her cookies in front of him, now she was going to cry.",negative
It is not so bad as you are.,negative
Bad guys were everywhere and children running away.,negative
What you did there was tasteless.,negative
It was bad enough that Jonny was threatening some kind of penalty.,negative
"As bad luck would have it, Mr. Randolph took the wrong road.",negative
You are a bad Father.,negative
Those cookies were tasteless.,negative
John is a bad Friend.,negative
His tasteless joke offended her.,negative
That dish is tasteless.,negative
You have a bad charachter.,negative
In the days of the semi-insane recluse Rudolph things went from bad to worse.,negative
You have a tasteless character.,negative
The government of the country rapidly became bad.,negative
Your quality of work is becoming bad.,negative
This country is full of tasteless people.,negative
You are a bad teacher.,negative
I haven't seen someone as tasteless as you before.,negative
It would be a bad precedent and unworthy of the spirit of the age.,negative
He was a bad ruler of England.,negative
"The tyranny of Lygdamis had gone from bad to worse, and at last he was expelled.",negative
His unsparing reviews made bad blood with the pillars of the university.,negative
Cracking that joke was tasteless man.,negative
This year is going to be a bad one.,negative
Kashmiri food is tasteless.,negative
That was a bad trip.,negative
He made tasteless jokes.,negative
We left the restaurant because the food was tasteless.,negative
Did you find the food tasteless?,negative
"Yes, I found the food tasteless.",negative
You have a tasteless choice in clothes.,negative
Your music taste is tasteless.,negative
You and your tasteless jokes will get you in trouble one day.,negative
Your tasteless humour offended them.,negative
I am not here for these tasteless jokes.,negative
I hate peanut butter.,negative
Do you hate me now?,negative
That peanut butter is tasteless.,negative
I hate them all.,negative
She was beginning to hate the word.,negative
People will hate you for your tasteless humour.,negative
I hate those little trolls.,negative
"I hate it in town, and the diner is so... boring.",negative
I hate to see you make that trip again.,negative
"I can fight, and I hate most people.",negative
I hate getting drunk alone.,negative
They hate my guts.,negative
People have started to despise her tasteless humour.,negative
It's almost dry and I hate it when it gets all wrinkled.,negative
It's just a tasteless compulsive need.,negative
How long did you hate them?,negative
Counting calories is tasteless.,negative
I hate you Deidre.,negative
I could see how Shipton might hate his wife.,negative
"God, I hate it when he whines...",negative
You hate that car.,negative
Body shaming people is tasteless.,negative
I hate it when he visits.,negative
I put up with his tasteless act.,negative
"Oh yeah, I hate that, it hurts.",negative
It's also what makes people hate Oracles.,negative
I hate online dating.,negative
I hate dating her.,negative
"I hate any bastards, they're like Cure fans.",negative
"I hate how you're so perfect, and you're so carefree.",negative
"Anyway, I hate the next guy, so it's not a worry.",negative
I do not like his inflated poetry or his vacuous comments on literature.,negative
You are a hater.,negative
"God, I hated it and I was mad as hell.",negative
He hated it when she won an argument.,negative
The Spartans hated Aristomenes.,negative
She hated the headaches and feeling like shit!,negative
He hated her and was forever sundered from her.,negative
"He felt fear again, an emotion he hated.",negative
I thought your kind hated humans.,negative
I hated the man.,negative
His face was depressed and gloomy.,negative
It left her depressed.,negative
Alex was bored and she was depressed.,negative
The final nail in the coffin of their friendship left her feeling depressed.,negative
The doctors said it was because she was depressed.,negative
Ryland looked even more depressed.,negative
Isolating yourself from others might make you feel depressed.,negative
It is easy to get discouraged when trying to lose weight.,negative
"In fact, tipping is generally discouraged.",negative
I'm not overly anxious to get back on that depressing ship.,negative
Oh. I suppose the atmosphere is a little depressing around here right now.,negative
"Of course it was depressing, and he must be feeling pretty bad right now.",negative
That whole business is too depressing.,negative
"I know none of this sounds very inspirational, more depressing.",negative
It's really depressing me because now I don't want to go to school!,negative
The experiences of Bonaparte at Auxonne during his second stay in garrison were again depressing.,negative
"Winter, however, is long and depressing.",negative
"Pessimism is numbing, demoralizing, depressing.",negative
"For this reason, some people find minimalism cold or even depressing.",negative
"Prizes should be, of course, depressing and emo.",negative
"She hadn't recognized it as depression then, though.",negative
Again Pierre was overtaken by the depression he so dreaded.,negative
"Physical ills were miserable, but this depression was unbearable.",negative
He is suffering from depression.,negative
Luther's depression arose.,negative
The survivor of trauma may feel fearful or depressed.,negative
I am worried about our older cat feeling depressed and living in fear.,negative
"When a spouse cheats, the other spouse often feels betrayed, depressed and undervalued.",negative
"Without friends, you could quickly grow lonely and depressed.",negative
You feel depressed and start to think you may have seasonal affective disorder.,negative
Teens who are depressed may turn to drugs to self-medicate.,negative
I'm never talking with you again.,negative
I will never be a part of this.,negative
He will never accept his fault.,negative
"He never spoke of his childhood as an orphan, but kept dark memories of those days in his heart.",negative
I love to be alone. I never found the companion that was so companionable as solitude.,negative
She never finishes what she starts.,negative
Are you never going to grow up?,negative
I'll never forgive you.,negative
I'll never forget her.,negative
They never finish their task.,negative
We never learn.,negative
I will never accept this.,negative
She never fully recovered from the traumas she suffered during her childhood.,negative
She was a dreamy young woman who never gave much serious thought to her future.,negative
He was born into a wealthy family and never learned to economize.,negative
He never keeps his promises.,negative
I never enjoy doing chores.,negative
He's never happy.,negative
She is never happy.,negative
They're never satisfied.,negative
"I write this beautiful fucking letter, I slave over it, and what happens? The dumb cooze never writes back.",negative
This is never going to work.,negative
"Plead as much as you want, but I'm never going to help you.",negative
I never expected you to fall this low.,negative
We will never see each other again.,negative
She's never coming back to my life and that makes me sad.,negative
"They never stop fighting, do they?",negative
"I never really liked broccoli before, and now that I've tasted it the way you cook it, I hate it even more!",negative
She never found her lost keychain.,negative
"A lot of effort was put into the project, but it was never successful.",negative
What a tasteless humour you have.,negative
Your tasteless humour will get you a lot of problems.,negative
Their victory was the result of foul play.,negative
The referee gave him a yellow card for foul play.,negative
That thing smells foul.,negative
He used foul language in front of everyone.,negative
It's exuding a foul odour.,negative
The player was booked for a foul.,negative
What's that foul smell?,negative
He will resort to foul tactics to win.,negative
That team's player was fouled.,negative
This is a case of clear foul play.,negative
That toilet smells foul.,negative
I have had a foul day at work today.,negative
What foul weather!,negative
These days you just see foul language on TV.,negative
That was a foul throw.,negative
That was a foul tactic.,negative
Why are you in a foul mood?,negative
That was a flagrant foul.,negative
That was an intentional foul.,negative
The oil fouled the river.,negative
Stop fouling the room with your vitriolic attitude.,negative
The team got kicked out because of foul play.,negative
"I don't think we should go out. Not only is it late, but it's also snowing.",negative
I don't like him.,negative
I don't like her.,negative
You are fouling everyone's mood by not going out.,negative
Don't utter a single word!,negative
I don't like where this is going.,negative
I don't want anything to do with you anymore.,negative
Don't go around assuming things on your own.,negative
Her parents don't love her.,negative
He used foul language to pontificate.,negative
She doesn't like him.,negative
I don't want to deal with you or anyone right now.,negative
I don't like doing chores on a Sunday morning.,negative
She doesn't like him because of his foul personality.,negative
I don't really have a preference when it comes to coffee or cold drinks.,negative
I don't like having to reveal personal information when I fill in a job application.,negative
"I grant that he's a talented writer, but I just don't find his books very interesting.",negative
Don't go anywhere near him.,negative
"I don't want to go there at all, I would much rather stay at home.",negative
"You don't hurt the people you love, but you always do.",negative
"He is not talented, It's all foul play.",negative
I don't like the food at this restaurant at all.,negative
Sometimes I feel like I don't need to talk to anybody and keep everything to myself.,negative
The food was foul.,negative
You don't know anything about me!,negative
I don't know you well enough to be on a first-name basis with you.,negative
Being reticent can lead to a foul behaviour.,negative
Her parents never acknowledged her efforts despite how hard she worked.,negative
Your attitude towards woman is really foul.,negative
She did commit a foul.,negative
Don't you feel like you should stop acting like a child already?,negative
"Stay away from her, you don't deserve her!",negative
Don't involve me in your troubles.,negative
I can't go out because of this foul weather.,negative
He doesn't know one thing about the world and how it works.,negative
She does not care about anything anymore.,negative
Your attitude is foul and unhelpful.,negative
I don't see a future with my boyfriend.,negative
I don't know why but I can't trust you with money.,negative
Don't you think you're crossing your limits here?,negative
Shut up! Don't say anything embarrassing anymore!,negative
Don't you get it already? I tired of everything!,negative
Don't act like you don't know anything!,negative
Don't let it go to your head.,negative
Why are you using obscene language?,negative
That movie was obscene.,negative
Children shouldn't be allowed to watch that obscene movie.,negative
Watch your obscene language!,negative
"You know that you're a bad girl, don't you?",negative
He got mixed with some obscene people.,negative
Your obscene character will be the end of you.,negative
He got thrown into the prison for his obscene behaviour.,negative
She is an obscene girl.,negative
He is an obscene man.,negative
You should stay away from obscene people.,negative
Your tasteless and obscene humour offended her.,negative
His obscene language on the field lead to him committing a foul.,negative
His obscene language will destroy his life.,negative
Enough with this obscene language!,negative
Your obscene perspective is unhealthy.,negative
Who is more obscene than you?,negative
Your obscene attitude is putrid.,negative
Your obscene attitude is appalling to me.,negative
Your obscene attitude is heinous.,negative
"I like her, but I don't like her friend.",negative
Her friend is repugnant and obscene.,negative
Her friend's language is obscene.,negative
Her friend has done some obscene and troublesome things.,negative
Her friend resorted to obscene things in the end.,negative
You and your friends are fatuous and obscene.,negative
Who wants to join your obscene group of friends?,negative
Your obscene notions will get you in trouble.,negative
It was an obscene message.,negative
Your obscene ideology is horrendous.,negative
Your obscene side is really harrowing.,negative
His obscene side made him do that.,negative
She is always hanging out with that obscene guy.,negative
He is always hanging out with his obscene friends.,negative
Your obscenity is going to destroy your life.,negative
Your obscene ideas about girls are odious.,negative
That thing looks irregular.,negative
His involvement in irregular financial dealings will put him in jail.,negative
You will go to jail for irregular conduct.,negative
He has a very irregular schedule.,negative
The festival has been held at irregular intervals.,negative
Her application was handled in an irregular manner.,negative
His behavior as a teacher was highly irregular.,negative
Serial killers have an irregular attitude.,negative
"Come on, concentrate! We don't have all day to do this.",negative
"She's barely come to when she's on him like a leech, but he will have none of that.",negative
I barely recognize anyone from high school.,negative
I barely know her.,negative
"He's been living with his girlfriend for 2 years now, but he barely knows anything about her.",negative
I barely understand anything when it comes to studies.,negative
I growled in frustration and barely restrained myself from ripping the next shirt I grabbed into pieces.,negative
"Why are you talking like we're close friends? I mean, I barely know you.",negative
I could barely deal with him and his carefree attitude.,negative
She could barely stand his selfish demands.,negative
It's been a week already and I'm barely missing my family.,negative
You barely sound like you're serious when you say it like that.,negative
Don't involve yourself in barely legal activities.,negative
Many of those aimed at youngsters are barely monitored and contain explicit sexual references.,negative
I could barely face her after I confessed my love for her.,negative
"Her heart beat so hard, she could barely make out his response.",negative
Brown was so angry with his players that he could barely bring himself to talk to them.,negative
There's barely a chance that you will board the flight on time.,negative
There's barely a happy moment to be found in my life lately.,negative
She had never so raunchily come on to a guy in her life especially a guy she barely knew and had hardly spoken to!,negative
Your behaviour is barely acceptable.,negative
I'm barely capable of keeping up with this world's selfish desires.,negative
I can barely concentrate on my studies.,negative
I could barely see in the dark room.,negative
"The next thing I knew, I was jostled and shoved around by people I could barely even see.",negative
The thing which hurts me the most is that he's barely aware of his own fault.,negative
"Throughout all the stories of loss and pain with the Chief, there was barely a trace of emotion.",negative
"She is as blameless and unthreatening as she possibly can be, but barely human.",negative
I barely wish to hang out with my friends or go outside in general.,negative
"He is a corrupt, woman-hating bundle of rage barely keeping it together.",negative
"We could barely be seen, so we waited till it was dawn.",negative
I can barely look her in the eye after what I've done.,negative
You're a terrible person.,negative
He is a terrible person.,negative
The food here is terrible.,negative
Your taste in movies is terrible.,negative
Things went terribly wrong the moment she started speaking.,negative
I'm resigning from this terrible comapany where employees are not valued.,negative
"I have made some terrible mistakes in the past, so I don't deserve peace or happiness.",negative
What is wrong with you terrible people?!,negative
You are terrible for making me wear this. It's so embarrassing!,negative
I had no idea you were such a terrible human being.,negative
She's been dealing with terrible people her whole life. She deserves better.,negative
Terrible consequences await people who do terrible things.,negative
This is terrible! I don't want this!,negative
"Like I said, all the acting is terrible the actors seem to be going through the motions.",negative
Something terrible is going to happen and I can feel it.,negative
His brain was dazed and still surging with the terrible thoughts which had agonized him the night before.,negative
I met one man who had quit his job after a row with his boss and had terrible difficulty finding another.,negative
I'm terribly reluctant when it comes to asking a girl out.,negative
I want to break out of my terrible sleep schedule.,negative
Her experiences during the trip put her in a terrible dilemma.,negative
Your mistakes are too terrible to repeat.,negative
"This was a terrible shock for me, and I started having appalling nightmares.",negative
"We quarrelled, like any couple in love and we both had terrible tempers when we were roused.",negative
He's currently having terrible trouble kicking the smoking habit.,negative
You'll have a terrible life if you don't stop doing things your way.,negative
It's a terrible let-down when someone goes and behaves like this.,negative
You have terrible taste in women.,negative
"The last four words were accented, giving them a terrible ring.",negative
The bottom line is that he is terrible and you've done enough to put up with him.,negative
This is terrible news!,negative
But we sustain it because it is the one feel-good story of that terrible time.,negative
The virus is terrible and has affected the world in so many ways.,negative
His voice had an annoyed edge.,negative
The man looked annoyed as much as disappointed.,negative
"While mildly annoyed, he went along.",negative
The traveler and farmer are at times annoyed by the mosquito.,negative
She was confused and a little annoyed by a growing desire for a more serious relationship.,negative
She was annoyed because she feared it would lead to unhappiness.,negative
Now my expectations have changed so much that I'm annoyed everything isn't already connected to the Internet.,negative
Darian gave another of his annoyed sighs and hung up.,negative
The coming of these visitors annoyed him.,negative
Obviously he was annoyed by her caustic tone.,negative
Quinn grew more annoyed by the minute.,negative
Something in his expression gave her the feeling that he was annoyed again.,negative
What she still didn't know was how Candice knew and why it annoyed her.,negative
"He came up on one elbow, his expression wavering between annoyed and hurt.",negative
"Tessa followed, voicing her objection in annoyed bleats.",negative
Her voice sounded faintly annoyed.,negative
"Instead of being cheered by the news, he was annoyed.",negative
"He was annoying, and she wanted him to leave her alone.",negative
She left the room with an annoying thought.,negative
That familiar yet annoying pang of disappointment took its place.,negative
Serving them was another of his annoying habits.,negative
We will not overcome the problems.,negative
I will not meet with him,negative
Not once did I hear her say 'thank you'.,negative
he is not a good person.,negative
She did not like cake .,negative
They will not be joining us for dinner tonight.,negative
I will not call him as soon as possible,negative
She will not be watching TV.,negative
He had not been reading a book.,negative
we will not work on our project .,negative
I’m so sorry. I can’t lend you my camera.,negative
I can't talk to you .,negative
he can't bring himself to accept his fault,negative
We can't make her understand.,negative
I just can't figure her.,negative
I can't believe you thought I was going to marry her.,negative
We can't keep falling forever.,negative
I can't believe you're doing this to me.,negative
I can't imagine why he didn't tell us his friend was a pretty girl.,negative
I can't imagine why you chose Shakti instead.,negative
He can't hurt us this time.,negative
he just can't quit smoking,negative
The drugs can't arrest the disease's progress.,negative
But I can't help falling in love with you.,negative
There's rarely a chance that you will board the flight on time.,negative
I rarely understand anything when it comes to studies.,negative
I rarely wish to hang out with my friends or go outside in general.,negative
i rarely see him in class.,negative
he rarely smokes.,negative
It was the worst news yet.,negative
The conductor said it was the worst quake he ever knew.,negative
Richard the Third was one of England's worst kings.,negative
That would be the worst of the options.,negative
He is my worst enemy,negative
"Worst case scenario, she'd call her.",negative
"And, worst of all, I am growing old.",negative
"She was tired, frustrated, and, worst of all, scared.",negative
You're the worst!,negative
"How could they make a man commander-in-chief who cannot mount a horse, who drops asleep at a council, and has the very worst morals!",negative
"There was no good time for Katie's brother to visit, but this had to be the worst.",negative
Those dreams were the worst.,negative
it was comforting knowing that their love was not strong enough to survive the worst.,negative
That's the worst fight we've had yet.,negative
he was the worst guardian angel in the history of guardian angels.,negative
You have the worst timing for your jokes.,negative
I've had the worst day ever!,negative
Why do you always look for the worst?,negative
The worst that happened to him.,negative
I'm beginning to despise public officials.,negative
These women did truly despise the pontifical quality of woman.,negative
"Most women despise going swimsuit shopping, especially after a long winter indoors.",negative
he did despise the lesson.,negative
"While reality spoilers are now commonplace, many viewers despise them.",negative
adults despise itchy sweaters once the weather warms,negative
Many parents despise their children playing electronic games.,negative
Unknowability also makes it easier to despise the enemy.,negative
It would be bigotry to despise another human race,negative
She was despised as a hypocrite.,negative
I dislike you.,negative
She dislikes him.,negative
I dislike crowded places.,negative
My girlfriend dislikes it when I leave her alone.,negative
I really dislike people who don't keep their promises.,negative
She personally dislikes the look of the food she cooks.,negative
He avoids his classmates which shows his dislike of interacting with people.,negative
"I despise anchovies on pizza, and I refuse to eat them!",negative
I disliked this restaurant's food when I last visited.,negative
I used to dislike or even hate certain people whom I had encountered in life.,negative
Don't do anything which will make her end up disliking you.,negative
It's obvious that he dislikes her.,negative
I have a strong feeling of dislike toward people who use others.,negative
"Her boyfriend ended up cheating on him, to her huge dislike.",negative
I just dislike the way you do things and cause trouble for others.,negative
The problem is that I have this childish belief in consistency and a dislike of double standards.,negative
She clearly felt sad to see this day end.,negative
I suppose it would be a sad memory.,negative
My dislike increases to hate when I see you in such a state.,negative
"I have an active dislike of her because she's either very stupid or deliberately, maliciously, spiteful.",negative
She has a strong dislike for cocky men.,negative
She seemed so sad for him.,negative
I dislike the way I'm doing things in life.,negative
He felt sad and depressed.,negative
My girlfriend somewhat dislikes wearing a bunny girl outfit no matter how many times I tell her that she looks great in it.,negative
it's so sad reading about it.,negative
"She simply felt sad, as if she had lost someone forever.",negative
For a moment she felt sad.,negative
It is a sad thing to lose a friend of so many years.,negative
I just feel sad.,negative
"Taking pity on the sad flowers, she bought a bunch before continuing on her journey home.",negative
It was real sad how Annie ended up.,negative
"In a way that was a relief, and yet it was a sad thought.",negative
The photo makes me sad.,negative
He looked incredibly sad.,negative
"It is a sad story, but if you will try to restrain your tears I will tell you about it.",negative
It was sad and painful for him to talk to Tikhon who did not understand him.,negative
Now he's at least functional but the sad part is he lost nearly all of his memory.,negative
Why was she sad?,negative
Don't you think it's sad?,negative
"She looked at him, big brown eyes incredibly sad.",negative
"When I'm alone, I tend to overthink stuff and end up having sad thoughts.",negative
Why do you seem so sad?,negative
It is sad for children to lose a parent and it is hard not to see each parent everyday.,negative
"She was contemplative and calm, sad but not suicidal.",negative
That's kind of sad.,negative
"It seemed to her that things must be so, and yet it was dreadfully sad.",negative
What a sad and tragic life poor Annie led.,negative
The last thing you ever want is an overweight sad puppy.,negative
"I'm nobody, just a sad git who fell for the wrong woman.",negative
It was a sad parting.,negative
This is a sad reflection on our legal system.,negative
They were angry because their plans had been discovered.,negative
